id,name,code,user_type_id/id,chart_template_id/id,reconcile
l10n_cn_1012,其它货币资金,1012,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1101,交易性金融资产,1101,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1121,应收票据,1121,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1122,应收账款,1122,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1123,预付账款,1123,account.data_account_type_prepayments,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1124,应收账款(PoS),1124,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1131,应收股利,1131,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1132,应收利息,1132,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1221,其它应收款,1221,account.data_account_type_receivable,l10n_cn.l10n_chart_china_small_business,TRUE
l10n_cn_1231,坏账准备,1231,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1401,材料采购,1401,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1402,在途物资,1402,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1403,原材料,1403,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1404,材料成本差异,1404,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1405,库存商品,1405,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1406,发出商品,1406,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1407,商品进销差价,1407,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1408,委托加工物资,1408,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1471,存货跌价准备,1471,account.data_account_type_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_1501,持有至到期投资,1501,account.data_account_type_non_current_assets,l10n_cn.l10n_chart_china_small_business,FALSE
